rank,name_display_last_init,team_abbrev,active_sw,player_id,pos,g,ab,r,h,d,t,hr,rbi,bb,so,sb,cs,avg,obp,slg,ops,ibb,hbp,sac,sf,tb,xbh,gidp,go,ao,go_ao,np,tpa
1," Carrasco, C",CLE, ,471911,P,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,2,0,1,0,0,2,0,*.**,9,3
1," Pinder, B",NYY, ,572038,P,2,1,0,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,0,0,0,0,2,1,0,0,0,-.--,1,1
3," Brett, R",TB, ,592166,2B,3,3,0,2,1,0,0,0,1,0,0,0,.667,.750,1.000,1.750,0,0,0,0,3,1,0,0,1,0.00,20,4
3," Masterson, J",BOS, ,475416,P,1,3,0,2,0,0,0,1,0,1,0,0,.667,.667,.667,1.333,0,0,0,0,2,0,0,0,0,-.--,9,3
3," Pelfrey, M",MIN, ,460059,P,2,3,0,2,0,0,0,0,0,1,0,0,.667,.667,.667,1.333,0,0,0,0,2,0,0,0,0,-.--,12,3
6," Bandy, J",LAA, ,542908,C,2,2,1,1,0,0,1,1,0,0,0,0,.500,.500,2.000,2.500,0,0,0,0,4,1,0,0,1,0.00,8,2
6," Feldman, S",HOU, ,444857,P,1,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,10,2
6," Gallardo, Y",TEX, ,451596,P,2,4,0,2,1,0,0,0,0,1,0,0,.500,.500,.750,1.250,0,0,0,0,3,1,0,1,0,*.**,16,4
6," Noel, R",NYY, ,592596,CF,15,2,5,1,0,0,0,0,0,0,5,2,.500,.500,.500,1.000,0,0,0,0,1,0,0,1,0,*.**,6,2
6," Norris, D",DET, ,596057,P,1,2,1,1,0,0,1,2,1,1,0,0,.500,.667,2.000,2.667,0,0,0,0,4,1,0,0,0,-.--,11,3
6," Nuno, V",SEA, ,573064,P,4,2,0,1,0,0,0,1,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,1,0,*.**,6,2
