TweetID,TweetTime,TweetText,TweetLang,TimeZone,FollowerCount
979572206341623809,2018-03-30 04:13:07.953000000,    it s weird that Guillermo del Toro s fish banging movie isn t the one he called Pacific Rim,en,Pacific Time (US & Canada),188
979572296934342657,2018-03-30 04:13:29.520000000,Pacific Rim 2 was LIT,en,None,166
979572406913257473,2018-03-30 04:13:55.923000000,  Pacific Rim Uprising,en,Mountain Time (US & Canada),1235
979572451632820226,2018-03-30 04:14:06.430000000,Pacific Rim  Uprising is not the well oiled genre masterpiece the original was  but it did put a huge smile on my face ,en,None,34
979572687428136961,2018-03-30 04:15:02.757000000,Never not love you or pacific rim    ,en,None,41
979572774308999170,2018-03-30 04:15:23.430000000,Imagine it s a leg of a mech robot  Pacific rim uprising I will surely watch  Haha   makati   ,en,None,42
979572774590205952,2018-03-30 04:15:23.943000000,  Pacific Rim   The first one ,en,None,69
979572801693716480,2018-03-30 04:15:29.940000000,     Pacific Rim Uprising   amp   Sherlock Gnomes    On Cinema Season X  Ep  1        via  ,en,Atlantic Time (Canada),180
979572809822326786,2018-03-30 04:15:33.663000000,Herman and Newt           ,en,Eastern Time (US & Canada),1448
979572831175561217,2018-03-30 04:15:36.923000000,     Pacific Rim Uprising   amp   Sherlock Gnomes    On Cinema Season X  Ep  1        via  ,en,Atlantic Time (Canada),180
979572951015190528,2018-03-30 04:16:05.773000000,FRIDAY 30 03 2018 10 30am   Black Panther   in 3D U 16    350    10 45am  Tomb Raider  in 2D U 16    350    1 15pm    ,en,Quito,962
979573136856301568,2018-03-30 04:16:50.103000000,   Stuckmann      I wish it was that simple  Jeremy Jahns reviewed Pacific Rim 2 without using a single seco ,en,Pacific Time (US & Canada),2098
979573370420367360,2018-03-30 04:17:45.520000000,    Here s Charlie Day addressing  read as  confirming  Newmann at the Pacific Rim Uprising red carpet  My perpetual mood is Char ,en,Pacific Time (US & Canada),71
979573505472606208,2018-03-30 04:18:17.817000000,    TECH  Pacific Rim s Robots Are Less Advanced Than Some of Today s Real Robots    robotics  ,en,None,1096
979573754379558912,2018-03-30 04:19:17.017000000,Pacific Rim 2 is like Independence Day 2    cheesy plot   mediocre action   terrible character development   predic   ,en,Atlantic Time (Canada),98
979573911103815681,2018-03-30 04:19:54.407000000,    pacific rim  uprising  2018   ,en,None,2
979573949611888640,2018-03-30 04:20:03.623000000,Pacific Rim Uprising was a fun watch  Just don t expect anything crazy plot like the girl in front of me after the movie ,en,Eastern Time (US & Canada),205
979573962366640129,2018-03-30 04:20:07.837000000,Just wrote a highly detailed review of Pacific Rim  Uprising and what it means to the mech canon   ,en,Pacific Time (US & Canada),2928
979574191325417473,2018-03-30 04:21:01.367000000,There s no way I could have gotten through Pacific Rim 2 without the help of my good friend Jack Daniels   Drunk  VIP  WorstMovieEver,en,None,28
979574305867616256,2018-03-30 04:21:28.527000000,  bruh u were in pacific rim 2 ,en,Pacific Time (US & Canada),1443
979574396963688454,2018-03-30 04:21:50.617000000,  See Pacific Rim Uprising ,en,None,321
979574588689534976,2018-03-30 04:22:36.267000000,Pacific Rim 2 was actually damn good    Plus  Boyega  ,en,Eastern Time (US & Canada),332
